"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","Calculate Subscription Price","MyMealBuddy - Subscriptions APIs","Sat Jun 20 23:33:11 IST 2026","passed","Sat Jun 20 23:33:11 IST 2026","","","",""
"","195","Create Delivery Task","MyMealBuddy - Delivery APIs","Sat Jun 20 23:32:58 IST 2026","passed","Sat Jun 20 23:32:58 IST 2026","","","",""
"","167","Get Final Wallet Balance","MyMealBuddy - Wallet APIs","Sat Jun 20 23:32:50 IST 2026","passed","Sat Jun 20 23:32:50 IST 2026","","","",""
"","166","Get Transaction History","MyMealBuddy - Wallet APIs","Sat Jun 20 23:32:49 IST 2026","passed","Sat Jun 20 23:32:50 IST 2026","","","",""
"","484","Setup - Send OTP","MyMealBuddy - Wallet APIs","Sat Jun 20 23:32:48 IST 2026","passed","Sat Jun 20 23:32:49 IST 2026","","","",""
"","148","Razorpay Webhook (Mock)","MyMealBuddy - Payments APIs","Sat Jun 20 23:33:19 IST 2026","passed","Sat Jun 20 23:33:19 IST 2026","","","",""
"","144","Get Menus by City","MyMealBuddy - Menus APIs","Sat Jun 20 23:33:04 IST 2026","passed","Sat Jun 20 23:33:05 IST 2026","","","",""
"","159","Update User Profile","MyMealBuddy - Auth APIs","Sat Jun 20 23:33:25 IST 2026","passed","Sat Jun 20 23:33:26 IST 2026","","","",""
"","191","Setup - Add Address","MyMealBuddy - Delivery APIs","Sat Jun 20 23:32:57 IST 2026","passed","Sat Jun 20 23:32:57 IST 2026","","","",""
"","215","Admin Credit Wallet","MyMealBuddy - Wallet APIs","Sat Jun 20 23:32:50 IST 2026","passed","Sat Jun 20 23:32:50 IST 2026","","","",""
"","185","Cancel Subscription","MyMealBuddy - Subscriptions APIs","Sat Jun 20 23:33:12 IST 2026","passed","Sat Jun 20 23:33:12 IST 2026","","","",""
"","212","Get User Subscriptions","MyMealBuddy - Subscriptions APIs","Sat Jun 20 23:33:11 IST 2026","passed","Sat Jun 20 23:33:11 IST 2026","","","",""
"","189","Setup - Add Address","MyMealBuddy - Subscriptions APIs","Sat Jun 20 23:33:11 IST 2026","passed","Sat Jun 20 23:33:11 IST 2026","","","",""
"","174","Get User Addresses","MyMealBuddy - Auth APIs","Sat Jun 20 23:33:26 IST 2026","passed","Sat Jun 20 23:33:26 IST 2026","","","",""
"","213","Setup - Create Subscription","MyMealBuddy - Delivery APIs","Sat Jun 20 23:32:57 IST 2026","passed","Sat Jun 20 23:32:58 IST 2026","","","",""
"","490","Setup - Send OTP","MyMealBuddy - Delivery APIs","Sat Jun 20 23:32:56 IST 2026","passed","Sat Jun 20 23:32:57 IST 2026","","","",""
"","195","Create Subscription","MyMealBuddy - Subscriptions APIs","Sat Jun 20 23:33:11 IST 2026","passed","Sat Jun 20 23:33:12 IST 2026","","","",""
"","275","Cleanup","MyMealBuddy - Delivery APIs","Sat Jun 20 23:32:58 IST 2026","passed","Sat Jun 20 23:32:58 IST 2026","","","",""
"","517","Setup - Get Token","MyMealBuddy - Payments APIs","Sat Jun 20 23:33:18 IST 2026","passed","Sat Jun 20 23:33:19 IST 2026","","","",""
